productID,category ,general,bath,glass,carpet,vacuum,manufacturer,product,website,fragrance,dilution,information,GsCertified,EcCertified,CarpetStyle
1017,Cleaning,General,,,,,Aqua ChemPacs LLC,ACP Citrus All-Purpose Cleaner; 15g PVA pouches in a No. 4 LDPE zip bag,chempacs.com,Yes,"1:504,",,Green Seal®,,
1018,Cleaning,General,,,,,Aqua ChemPacs LLC,ACP Citrus All-Purpose Cleaner; 4g PVA film pouches in a No. 2 HDPE jar,chempacs.com,Yes,"1.237,",,Green Seal®,,
1019,Cleaning,General,,,,,Aqua ChemPacs LLC,ACP Neutral Floor Cleaner,www.chempacs.com,Yes,"1:05,",,Green Seal®,,
1020,Cleaning,,Bath,,,,Aqua ChemPacs LLC,ACP Non-Acid Bathroom Cleaner,www.chempacs.com,Yes,"1:15,",,Green Seal®,,
1021,Vacuum Cleaners,,,,,Commercial Upright,Lindhaus USA,Activa 30 Pro,www.lindhaususe.com,No,,"Micro-lined Paper Inner Bag, Standard Filter",,,Bronze Level
1022,Vacuum Cleaners,,,,,Commercial Backpack,"Advance, Nilfisk-Advance, Inc.",Adgility 10XP,,No,,,,,
1023,Vacuum Cleaners,,,,,Commercial Backpack,"Advance, Nilfisk-Advance, Inc.",Adgility 6XP,,No,,,,,
1024,Cleaning,General,,,,,Spray Nine,Adirondack Green All-Purpose Cleaner/Degreaser,www.spraynine.com/green/,No,"32:1,",,Green Seal®,,Bronze Level
1025,Vacuum Cleaners,,,,,Commercial Upright,"Advance, Nilfisk-Advance, Inc.",Advance ReliaVac 12,,No,,Cloth bag ? Upright Single Motor ? 12? cleaning pa,,,
1026,Vacuum Cleaners,,,,,Commercial Upright,"Advance, Nilfisk-Advance, Inc.",Advance ReliaVac 12DC,,No,,Cloth bag ? Upright Single Motor ? 12? cleaning pa,,,
1027,Vacuum Cleaners,,,,,Commercial Upright,"Advance, Nilfisk-Advance, Inc.",Advance ReliaVac 12HP Zipper Cloth bag with Paper filter bag inside  Upright Single Motor 12 cleaning path,,No,,,,,
1028,Vacuum Cleaners,,,,,Commercial Upright,"Advance, Nilfisk-Advance, Inc.",Advance ReliaVac 16HP Zipper Cloth bag with Paper filter bag inside  Upright Single Motor  16 cleaning path,,No,,,,,
1029,Vacuum Cleaners,,,,,Commercial Upright,"Advance, Nilfisk-Advance, Inc.",Advance Spectrum 12H,,No,,,,,
1030,Vacuum Cleaners,,,,,Upright,"Advance, Nilfisk-Advance, Inc.",Advance Spectrum 12P,www.advance-us.com,No,,,,,Gold Level
1031,Vacuum Cleaners,,,,,Upright,"Advance, Nilfisk-Advance, Inc.",Advance Spectrum 15D,www.advance-us.com,No,,,,,Gold Level
1032,Vacuum Cleaners,,,,,Upright,"Advance, Nilfisk-Advance, Inc.",Advance Spectrum 15P,www.advance-us.com,No,,,,,Gold Level
1033,Vacuum Cleaners,,,,,Upright,"Advance, Nilfisk-Advance, Inc.",Advance Spectrum 18D,www.advance-us.com,No,,,,,Gold Level
1034,Hand Soaps,,,,,,DEB SBS,Aero Blue Foam Soap,www.debsbs.com/,Yes,,,Green Seal®,,
1035,Hand Soaps,,,,,,DEB SBS,Aero Blue Hand and Body Shampoo,www.debgroup.com/,Yes,,,Green Seal®,,
1036,Hand Soaps,,,,,,DEB SBS,Aero Rose Foam Soap,www.debsbs.com/,Yes,,,Green Seal®,,
1037,Hand Soaps,,,,,,DEB SBS,Aero Rose Free Foam Soap,www.debsbs.com/,No,,,Green Seal®,,
1038,Hand Soaps,,,,,,Hillyard Industries,Affinity Green Select Liquid Hand Soap - No. 377 ,www.hillyard.com/,No,,,Green Seal®,,
1039,Hand Soaps,,,,,,Hillyard Industries,Affinity Green Select Premium Foam Soap,www.hillyard.com,No,,,Green Seal®,,
1040,Hand Soaps,,,,,,National Chemical Laboratories,AFIA  EARTH SENSE Certified Green Foaming Hand Cleaner,www.nclonline.com/,No,,,Green Seal®,,
1041,Hand Soaps,,,,,,National Chemical Laboratories,AFIA  EARTH SENSE Certified Green Liquid Hand Cleaner,www.nclonline.com/,No,,,Green Seal®,,
1042,Cleaning,General,,Glass,,,AlkaVie Solutions,Alka-Yellow Multi-Purpose Cleaner,alkaviesolutions.com/shop/ols/products/2-pack-alka-yellow-glass-surface-kleen-concentrate-5499-each,No,,,Green Seal®,,
1043,Hand Soaps,,,,,,AFFLINK,All Hands Botanical Foam Handwash ,afflink.com,Yes,,RTU,,ECOLOGO®,
1044,Hand Soaps,,,,,,AFFLINK,All Hands Clear and Mild Foam Handwash ,afflink.com,No,,RTU,,ECOLOGO®,
1045,Hand Soaps,,,,,,AFFLINK,All Hands Pomeberry Foam Handwash ,afflink.com,Yes,,RTU,,ECOLOGO®,
1046,Cleaning,General,,,,,V-TO Inc.,All Purpose Cleaner,www.vto.qc.ca/client/en/fiches.php?item_id=62,Yes,,,,ECOLOGO®,
1047,Cleaning,General,,,,,Bio-Spectra,All Purpose Cleaner,,Yes,,,,ECOLOGO®,
1048,Cleaning,General,,,,,Con-O-Lab,All Purpose Cleaner,,Yes,,,,ECOLOGO®,
1049,Cleaning,General,,,,,Royalpak Inc.,All Purpose Cleaner Degreaser 1L,www.royalpak.com/default.htm,No,Various - see label,,,ECOLOGO®,
1050,Cleaning,General,,,,,Royalpak Inc.,All Purpose Cleaner Degreaser 20L,www.royalpak.com/default.htm,No,Various - see label,,,ECOLOGO®,
1051,Cleaning,General,,,,,Royalpak Inc.,All Purpose Cleaner Degreaser 210L,www.royalpak.com/default.htm,No,Various - see label,,,ECOLOGO®,
1052,Cleaning,General,,,,,Royalpak Inc.,All Purpose Cleaner Degreaser 4L,www.royalpak.com/default.htm,No,Various - see label,,,ECOLOGO®,
1053,Cleaning,,,,Carpet,,DPM Enterprises,All Star II Non Re-Soiling Carpet Cleaner,www.dpmenterprises.net/,No,,,Green Seal®,,
1054,Hand Soaps,,,,,,WORX Environmental Products,All-Natural Hand Cleaner ,www.worx.ca,Yes,,,,,Bronze Level
1055,Cleaning,General,,,,,"Greenmaker Industries, LLC",All-Purpose Concentrate,www.greendepot.com/,No,,,Green Seal®,,
1056,Floor Finish,,,,,,"Alltec Products, Inc.","Alltec Hi Profection Buff, Floor Finish 25%",,No,,,,,
1057,Floor Finish Stripper,,,,,,"Alltec Products, Inc.",Alltec Liquifier Low Odor Floor Stripper,,No,,,,,
1058,Floor Finish,,,,,,Alpha Chemical Service,Alpha Floor Finish 20,,No,,,,,
1059,Floor Finish,,,,,,Alpha Chemical Service,Alpha Floor Finish 25,,No,,,,,
1060,Floor Finish Stripper,,,,,,Alpha Chemical Service,Alpha Floor Finish Stripper,,No,,,,,
1061,Cleaning,General,,,,,Johnson Diversey,Alpha HP Multi-Surface Cleaner FF No. 55,www.johnsondiversey.com/,No,,,,ECOLOGO®,
1062,Floor Finish Stripper,,,,,,American Chemical & Equipment Co. Inc.,American Super Kwik Strip Floor Stripper,www.americanchemical.net/,No,,,,,
1063,Floor Finish,,,,,,American Chemical & Equipment Co. Inc.,American Wet Look Floor Finish,www.americanchemical.net/,No,,,,,
1064,Cleaning,General,,,,,Annihilare Medical Systems,Annihilyte FREE (Catholyte),www.para-con.com/,No,,,Green Seal®,,
1065,Hand Soaps,,,,,,AmSan,Appeal Foaming Hand Wash,www.amsan.com,Yes,,,Green Seal®,,Bronze Level
1066,Cleaning,General,,,,,Duane Reade,Apt. 5 Goes Green All Purpose Cleaner,www.duanereade.com/,Yes,RTU,,,ECOLOGO®,
1067,Cleaning,,Bath,,,,Duane Reade,Apt. 5 Goes Green Bathroom Cleaner ,www.duanereade.com/,Yes,RTU,,,ECOLOGO®,
1068,Cleaning,,,Glass,,,Duane Reade,Apt. 5 Goes Green Glass Cleaner,www.duanereade.com/,No,RTU,,,ECOLOGO®,
1069,Hand Soaps,,,,,,Laboratories Choisy Ltee,"Aqua-Derma Cleansing Lotion for Hands, Body and Hair ",www.choisy.com,Yes,,,,,
1070,Cleaning,General,,,,,Sani-Marc Inc.,AQUAPRO Spa Clean 1L,www.sanimarc.com/?langISO=en,Yes,RTU,,,ECOLOGO®,
1071,Cleaning,General,,,,,Sani-Marc Inc.,AQUAPRO Spa Optimum 500ml,www.sanimarc.com/?langISO=en,Yes,RTU,,,ECOLOGO®,
1072,Cleaning,General,,,,,Canadian Tire Corp.,Aquarius Filter Cleaner,www.canadiantire.ca/home.jsp?site=WebStore,No,1L/20L,,,ECOLOGO®,
1073,Cleaning,General,,,,,Canadian Tire Corp.,Aquarius Vinyl Liner Cleaner,www.canadiantire.ca/home.jsp?site=WebStore,No,RTU or 100mL/5L,,,ECOLOGO®,
1074,Hand Soaps,,,,,,Gordon Food Service,Array Extra Mild Foam Handwash,www.gfs.com/en-us/products/our-brands/array,No,,,Green Seal®,,
1075,Hand Soaps,,,,,,Gordon Food Service,Array Liquid Extra Mild White Handwash,www.gfs.com/en-us/products/our-brands/array,No,,,Green Seal®,,
1076,Hand Soaps,,,,,,B4 Brands,Aterra Eco-Premium Foaming Hand Soap,www.b4brands.com,Yes,,RTU,,ECOLOGO®,Silver Level
1077,Hand Soaps,,,,,,B4 Brands,Aterra Eco-Premium Fragrance Free Foaming Hand Soap,www.b4brands.com,No,,RTU,,ECOLOGO®,Bronze Level
1078,Hand Soaps,,,,,,B4 Brands,Aterra Eco-Premium Sulfate-Free Foamin Hand Soap,www.b4brands.com,No,,RTU,,ECOLOGO®,Bronze Level
1079,Cleaning,General,,,,,Cartier Chemicals,"Autoscrob Eco High Performance Industrial Environmentally Friendly degreaser and multi purpose cleaner with Tangerine Oil - Green 950mL, 4L, 10L, 20L, 205L, ",www.cartierchem.com/,No,,,,ECOLOGO®,
1080,Cleaning,General,,,,,Cartier Chemicals,"Autoscrub Eco High Performance Industrial Environmentally Friendly Degreaser and Multi-Purpose Cleaner Unscented 950 mL, 4L, 10KL, 20L, 205L,    ",www.cartierchem.com/,No,Depends on Use,,,ECOLOGO®,
1081,Cleaning,,,,,,Cartier Chemicals,"Autoscrub Eco High Performance Industrial Environmentally Friendly Degreaser and Multi-Purpose Cleaner with Tangerine Oil PH10- Green 950 mL, 4L, 10L, 20L, 205L",www.cartierchem.com/,Yes,Depends on Use,,,ECOLOGO®,
1082,Cleaning,General,,,,,Cartier Chemicals,"Autoscrub Eco High Performance Industrial Environmentally Friendly Degreaser and Multi-Purpose Cleaner with Tangerine Oil PH10. 950 mL, 4L, 10L, 20L, 205L, ",www.cartierchem.com/,Yes,Depends on Use,,,ECOLOGO®,
1083,Cleaning,General,,,,,Avmor,Avmor All Purpose Cleaner for pressure washers ,www.avmor.com/,No,"1:01,",,,ECOLOGO®,Gold Level
1084,Cleaning,,,Glass,,,Avmor,Avmor Blue Stuff Window and Glass Cleaner 2X 4L,www.avmor.com/,No,"1:16,",,,ECOLOGO®,
1085,Cleaning,General,,,,,Avmor,Avmor Heavy Duty Degreaser for pressure washers ,www.avmor.com/,No,"1:05,",,,ECOLOGO®,Gold Level
1086,Cleaning,,Bath,,,,Groupe Avmor,Avmor S-22 Cleaner Descaler Brightner for Floors and Bathrooms  10L,www.avmor.com/,No,,,,ECOLOGO®,
1087,Cleaning,,Bath,,,,Groupe Avmor,Avmor S-22 Cleaner Descaler Brightner for Floors and Bathrooms 20L,www.avmor.com/,No,,,,ECOLOGO®,
1088,Cleaning,,Bath,,,,Groupe Avmor,Avmor S-22 Cleaner Descaler Brightner for Floors and Bathrooms 4L,www.avmor.com/,No,,,,ECOLOGO®,
1089,Cleaning,General,,,,,Avmor,"Avmor Strong Stuff Heavy Duty Oven, Grill and Kitchen Cleaner",www.avmor.com/,No,RTU,,,ECOLOGO®,
1090,Cleaning,General,,,,,Avmor,Avmor Wood Deck and Fence Cleaer for Pressuer washers ,www.avmor.com/,No,"1:09,",,,ECOLOGO®,Gold Level
1091,Hand Soaps,,,,,,"Avmor, Ltd.","Avmor, Ltd.",,No,,,Green Seal®,,
1092,Cleaning,General,,,,,Nilfisk-Advance,AXP Adhancing Agent,www.advance-us.com/,Yes,,,Green Seal®,,
1093,Cleaning,General,,,,,Nilfisk-Advance,AXP Neutral Cleaner,www.advance-us.com/,Yes,,,Green Seal®,,
1094,Cleaning,,,Glass,,,Dustbane Products Limited,Azure Window & Glass Cleaner,www.dustbane.ca/main_en.html,No,"1:04,",,,ECOLOGO®,
1095,Floor Finish Stripper,,,,,,"National Chemical Laboratories, Inc.",Bare Bones No Rinse/No Scrub Liquifying Stripper,www.nclonline.com/productdetail.asp?currcode=1058,No,,,,,
1096,Cleaning,,Bath,,,,Ultra Chem Labs,Bathroom and Grout Cleaner,ultrachemlabs.com/,No,"1:32,",,Green Seal®,,
1097,Cleaning,,Bath,,,,Bio-Spectra,Bathroom Cleaner       (Gel & Liquid),,Yes,,,,ECOLOGO®,Bronze Level
1098,Cleaning,,Bath,,,,3M,"Bathroom Cleaner Concentrate 44L, 3M Twist 'n Fill Dispensing System",www.3m.com/,Yes,"1:50,",Toilet Bowl Cleaner,Green Seal®,,Gold Level
1099,Cleaning,,Bath,,,,Bebbington Industries Incorporated,Bebbington GREEN Bowl Cleaner,www.bebbingtonindustries.com/,No,RTU,,,ECOLOGO®,
1100,Cleaning,,Bath,,,,Bebbington Industries Incorporated,Bebbington GREEN Cream Cleanser,www.bebbingtonindustries.com/,No,RTU,,,ECOLOGO®,
1101,Cleaning,General,,,,,Bebbington Industries Incorporated,Bebbington GREEN General Purpose Cleaner,www.bebbingtonindustries.com/,No,"1:40,",,,ECOLOGO®,Bronze Level
1102,Vacuum Cleaners,,,,,Commercial Backpack,PowrFlite,BETCO D600,,No,,,,,
1103,Cleaning,General,,,,,Betco,Betco Green Earth Velocity Non-Butyl Degreaser,www.betco.com/,No,1:23-126 ,,,ECOLOGO®,
1104,Floor Finish Stripper,,,,,,Betco Corporation,Betco No. 184 Extreme Floor Stripper,www.betco.com/,No,,,,,
1105,Floor Finish,,,,,,Betco Corporation,Betco No. 606 Untouchable Floor Finish,www.betco.com/,No,,,,,
1106,Cleaning,General,Bath,,,,CP Industries,Big Job Cleaner EC,www.cpindustries.ca,No,"1:32,",,,ECOLOGO®,
1107,Cleaning,,Bath,,,,Bio Lub,"Bio Lub Cleaner and Degreaser with Tangerine Essential Oil 4 L, 20 L, 10 L, 250 L 950 mL",lgd.bio/,Yes,RTU,Toilet Bowl Cleaner,,ECOLOGO®,
1108,Cleaning,General,,,,,Bio Lub,"Bio Lub Neutral Cleaner Fragrance Free 4 L, 20 L, 10 L, 250 L 950 mL",lgd.bio/,No,1:128 - 1:64,,,ECOLOGO®,
1109,Cleaning,General,,,,,Bio Lub,"Bio Lub Neutral Cleaner with Tangerine Essential Oil 4 L, 20 L, 10 L, 250 L 950 mL",lgd.bio/,Yes,1:128 - 1:64,,,ECOLOGO®,
1110,Cleaning,,,Glass,,,Bio Lub,"Bio Lub Window Cleaner Fragrance Free Ready to Use 4 L, 20 L, 10 L, 250 L 950 mL",lgd.bio/,No,RTU,,,,
1111,Hand Soaps,,,,,,Unica,Bio Nature Savon Lotion a Main ,www.bionature.ca,No,,,,ECOLOGO®,
1112,Cleaning,General,,,,,Enviro Formula Inc,Bio Zen All purpose cleaner Tangerine essential oil,www.enviro-formula.com/,Yes,1: 64 : 128,,,ECOLOGO®,
1113,Cleaning,,Bath,,,,Enviro Formula Inc,Bio Zen Bathroom Cleaner,www.enviro-formula.com/,Yes,RTU,,,ECOLOGO®,
1114,Cleaning,,,Glass,,,Enviro Formula Inc,"Bio Zen Glass, mirror & desk cleaner",www.enviro-formula.com/,No,RTU,,,ECOLOGO®,
1115,Cleaning,General,,,,,Enviro Formula Inc,"Bio Zen Glass, mirror & desk cleaner Pine oil",www.enviro-formula.com/,Yes,1: 64 : 128,,,ECOLOGO®,
1116,Cleaning,General,Bath,Glass,,,Enviro Formula Inc,Bio Zen Oxy-cleaner & stain remover,www.enviro-formula.com/,Yes,1 :8 : 32; 64,Toilet Bowl Cleaner,,ECOLOGO®,
1117,Cleaning,,,,,,Enviro Formula Inc,Bio Zen Toilet Bowl Cleaner,www.enviro-formula.com/,Yes,RTU,Toilet Bowl Cleaner,,ECOLOGO®,
1118,Cleaning,General,,,,,Enviro Formula Inc,Bio Zn Multi-surface cleaner & degreaser,www.enviro-formula.com/,Yes,RTU,,,ECOLOGO®,
1119,Cleaning,General,,,,,Savons Prolav Soaps Inc.,Bio-Vert All Purpose Cleaner,www.bio-green.ca/en/,Yes,RTU,,,ECOLOGO®,
1120,Cleaning,General,,,,,Savons Prolav Soaps Inc.,Bio-Vert All Purpose Cleaner,www.bio-green.ca/en/,Yes,RTU,,,ECOLOGO®,
1121,Cleaning,,Bath,,,,Savons Prolav Soaps Inc.,Bio-Vert Bathroom Cleaner,www.bio-green.ca/en/,Yes,RTU,,,ECOLOGO®,
1122,Cleaning,,Bath,,,,Savons Prolav Soaps Inc.,Bio-Vert Bathroom Cleaner,www.bio-green.ca/en/,Yes,RTU,,,ECOLOGO®,
1123,Cleaning,,,Glass,,,Savons Prolav Soaps Inc.,Bio-Vert Window and Glass Cleaner,www.bio-vert.com/en,Yes,RTU,,,ECOLOGO®,
1124,Cleaning,,,Glass,,,Savons Prolav Soaps Inc.,Bio-Vert Window and Glass Cleaner,www.bio-vert.com/en/,Yes,RTU,,,ECOLOGO®,
1125,Cleaning,,,,,,CleanVia Inc,Bionik Super Concentrate,cleanvia.com,No,1:3-1:11,,,ECOLOGO®,
1126,Cleaning,,,Glass,,,"Spartan Chemical Company, Inc.",BioRenewables Glass Cleaner,www.green-solution.com/greensolutions/grnsol.nsf,Yes,,,Green Seal®,,
1127,Cleaning,,Bath,,,,BioSource Solutions Inc,BioSource Naturally Derieved Calcium Lime and Rust remover 1 L,biosourcesolutionsinc.com/,No,1:1 to 1:8,Toilet Bowl Cleaner,,ECOLOGO®,
1128,Cleaning,General,,,,,Birsch Industries,Birsch Green All clean,catalog.birsch.com/default.aspx,No,"1:64,",,Green Seal®,,
1129,Cleaning,,Bath,Glass,,,BISM - Blind Industries and Services of Maryland ,BISM Green Bath and Shower Cleaner ,www.bism.org/,Yes,,Toilet Bowl Cleaner,Green Seal®,,
1130,Cleaning,,,,,,BISM - Blind Industries and Services of Maryland ,BISM Green Bowl/Urinal Cleaner RTU,www.bism.org//,Yes,,Toilet Bowl Cleaner,Green Seal®,,
1131,Cleaning,General,,,,,BISM - Blind Industries and Services of Maryland ,BISM Green Degreaser,www.bism.org//,Yes,,,Green Seal®,,
1132,Cleaning,General,,,,,BISM - Blind Industries and Services of Maryland ,BISM Green Degreaser/All Purpose Cleaner ,www.bism.org/,Yes,,,Green Seal®,,
1133,Cleaning,,,Glass,,,BISM - Blind Industries and Services of Maryland ,BISM Green Glass Cleaner ,www.bism.org/,Yes,,,Green Seal®,,
1134,Cleaning,General,Bath,Glass,,,BISM - Blind Industries and Services of Maryland ,BISM Green MAXX Peroxide Cleaner ,www.bism.org/,Yes,,Carpet Spot Remover.  ,Green Seal®,,
1135,Cleaning,General,Bath,Glass,Carpet,,BISM - Blind Industries and Services of Maryland ,BISM Green Maxx Peroxide Cleaner 4,www.bism.org//,Yes,, Cold Water,Green Seal®,,
1136,Cleaning,General,,,,,BISM - Blind Industries and Services of Maryland ,BISM Green Neutral Cleaner 128,www.bism.org//,Yes,,,Green Seal®,,
1137,Cleaning,General,,,,,BISM - Blind Industries and Services of Maryland ,BISM Green Neutral Floor & Surface Cleaner,www.bism.org/,Yes,,,Green Seal®,,
1138,Cleaning,General,,,,,Simoniz USA,Blend Rite Green Scene AP-Cleaner,www.simonizusa.com/,Yes,"1:32,",,Green Seal®,,
1139,Cleaning,General,,,,,Simoniz USA,BlendRite Green Scene AP-64 All-Purpose Cleaner,www.simonizusa.com/,Yes,,,Green Seal®,,
1140,Cleaning,,Bath,,,,Simoniz USA,BlendRite Green Scene BC-20 Organic Acid Restroom Cleaner,www.simonizusa.com/,No,,,Green Seal®,,
1141,Cleaning,,,Glass,,,Simoniz USA,BlendRite Green Scene GC-20 Glass Cleaner,www.simonizusa.com/,Yes,,,Green Seal®,,
1142,Cleaning,General,,,,,Simoniz USA,BlendRite Green Scene MSD-32 Heavy Duty Degreaser,www.simonizusa.com/,Yes,,,Green Seal®,,
1143,Cleaning,General,,,,,TriLeaf Distribution Trifeul,Blue Planet All Purpose Cleaner,,Yes,RTU or 1:8,,,ECOLOGO®,
1144,Cleaning,,Bath,,,,TriLeaf Distribution Trifeul,Blue Planet Bathroom Cleaner,,Yes,"1:32,",,,ECOLOGO®,
1145,Cleaning,,,Glass,,,TriLeaf Distribution Trifeul,Blue Planet Glass Cleaner,,No,RTU,,,ECOLOGO®,
1146,Cleaning,General,,,,,TriLeaf Distribution Trifeul,Blue Planet Liquid Dish Soap,,Yes,RTU,,,ECOLOGO®,
1147,Cleaning,General,,,,,TriLeaf Distribution Trifeul,Blue Planet Multi Surface Cleaner,,Yes,,,,ECOLOGO®,
1148,Cleaning,General,,,,,Triple S,Bona SuperCourt Cleaner,store.triple-s.com/product/38049,No,,,Green Seal®,,
1149,Cleaning,General,,,,,Bona US,Bona SuperCourt Cleaner,us.bona.com/,No,"1:128,",,Green Seal®,,
1150,Cleaning,General,,,,,"Diversey, Inc.",Bona SuperCourt Cleaner,www.diversey.com/,No,"1:128,",,Green Seal®,,
1153,Hand Soaps,,,,,,Bortek Industries,Bortek IndustriesEco Foaming Hand Wash,www.sweeperland.com/,No,,,Green Seal®,,
1154,Hand Soaps,,,,,,Royal Papers Inc.,Botanical Foam Handwash,,Yes,,Ready to Use,,ECOLOGO®,
1155,Cleaning,,Bath,,,,Con-O-Lab,Bowl Cleaner,,Yes,,,,ECOLOGO®,Gold Level
1156,Cleaning,,Bath,,,,PortionPac Chemical Corporation,BowlPac Concentrated Bathroom Cleaner,www.portionpaccorp.com/,Yes,"1:18,",Toilet Bowl Cleaner,Green Seal®,,
1157,Vacuum Cleaners,,,,,Commercial Backpack,PowrFlite,BP10P,,No,,,,,
1158,Vacuum Cleaners,,,,,Commercial Backpack,PowrFlite,BP10S,,No,,,,,
1159,Vacuum Cleaners,,,,,Commercial Backpack,PowrFlite,BP6P,,No,,,,,
1160,Vacuum Cleaners,,,,,Commercial Backpack,PowrFlite,BP6S,,No,,,,,
1161,Hand Soaps,,,,,,Brady Industries,Brady Clear Liquid Hand Soap,www.bradyindustries.com,Yes,,,Green Seal®,,
1162,Hand Soaps,,,,,,Brady Industries,Brady Hand and Body Foam,www.bradyindustries.com/index3.html,Yes,,,Green Seal®,,
1163,Vacuum Cleaners,,,,,Commercial Wide Area,Brady Industries,Brady Wide Area Vacuum,www.bradyindustries.com,No,,"Paper Bags, HEPA Filter & On Board Tool Kit",,,Silver Level
1164,Hand Soaps,,,,,,Kelsan,Bright Solutions Citrus Ginger Foam Hamd & Showerwash ,www.kelsan.biz,Yes,,RTU,,ECOLOGO®,
1165,Hand Soaps,,,,,,Kelsan,Bright Solutions Citrus Ginger Foam Hand & Showerwash,www.kelsan.biz,Yes,,RTU,,ECOLOGO®,
1166,Hand Soaps,,,,,,Kelsan,Bright Solutions Clear & Mild Foam Handwash,www.kelsan.biz,No,,RTU,,ECOLOGO®,
1167,Hand Soaps,,,,,,Kelsan,Bright Solutions Pomeberry Foam Handwash,www.kelsan.biz,Yes,,RTU,,ECOLOGO®,
1168,Cleaning,,,,,,"Staples, Inc.",Brighton Profesional Neutral Floor Cleaner,www.staplesadvantage.com/learn,Yes,,,Green Seal®,,
1169,Cleaning,General,,,,,"Staples Contract & Commercial, Inc.",Brighton Professional All-Purpose Cleaner,www.staplesadvantage.com/learn,Yes,,,Green Seal®,,
1170,Cleaning,,Bath,,,,"Staples Contract & Commercial, Inc.",Brighton Professional Bathroom Cleaner,www.staplesadvantage.com/learn,Yes,,,Green Seal®,,
1171,Hand Soaps,,,,,,Staples ,Brighton Professional Botanical Foam Handwash ,,Yes,,RTU,,ECOLOGO®,
1172,Hand Soaps,,,,,,Staples ,Brighton Professional Citrus Ginger foam Handwash,,Yes,,RTU,,ECOLOGO®,
1173,Hand Soaps,,,,,,Staples ,Brighton Professional Clear and Mild Foam Handwash,,No,,RTU,,ECOLOGO®,
1174,Cleaning,,,Glass,,,"Staples Contract & Commercial, Inc.",Brighton Professional Glass Cleaner,www.staplesadvantage.com/learn,Yes,,,Green Seal®,,
1175,Cleaning,General,,,,,"Staples Contract & Commercial, Inc.",Brighton Professional Heavy Duty Floor Cleaner,www.staplesadvantage.com/learn,Yes,,,Green Seal®,,
1176,Hand Soaps,,,,,,Staples ,Brighton Professional Pomeberry Foam Handwash ,,Yes,,RTU,,ECOLOGO®,
1177,Vacuum Cleaners,,,,,Household Upright,Oreck Corporation,BU10000 Touch Bagless,,No,,HEPA Exhaust Filter,,,
